study,questionnaire,answer_list,value,label_de,label
soep-is,soep-is-2011,pwohn4,2,"Nicht zu sagen, da wechselnder Arbeitsort","Difficult to say, location of workplace varies"
soep-is,soep-is-2011,pwohn4,3,Arbeitsplatz und Wohnung sind im gleichen Haus bzw. auf dem gleichen Grundstück,Workplace and home are in the same building / same property
soep-is,soep-is-2011,q1,1,Ja,Yes
soep-is,soep-is-2011,q1,2,Nein,No
soep-is,soep-is-2011,q10,1,Landwirtschaftliches Wohngebäude,Farm house
soep-is,soep-is-2011,q10,2,Freistehendes Ein- oder Zweifamilienhaus,Free standing one or two family house
soep-is,soep-is-2011,q10,3,Ein- oder Zweifamilienhaus als Reihenhaus oder Doppelhaus,One or two family house as row or double house
soep-is,soep-is-2011,q10,4,Wohnhaus mit 3 bis 4 Wohnungen,Building with 3 to 4 flats
soep-is,soep-is-2011,q10,5,Wohnhaus mit 5 bis 8 Wohnungen,Building with 5 to 8 flats
soep-is,soep-is-2011,q10,6,"Wohnhaus mit 9 und mehr Wohnungen, aber höchstens 8 Stockwerken, also kein Hochhaus",Building with 9 or more flats (but no more than 8 floors/stories)
soep-is,soep-is-2011,q10,7,Hochhaus mit 9 und mehr Stockwerken,High-rise (9 or more floors/stories)
soep-is,soep-is-2011,q10,9,Keine Angabe,No answer
soep-is,soep-is-2011,q101,1,"Ja, eineiig","Yes, my identical twin"
soep-is,soep-is-2011,q101,2,"Ja, eine zweieiige Schwester","Yes, my fraternal sister"
soep-is,soep-is-2011,q101,3,"Ja, ein zweieiiger Bruder","Yes, my fraternal brother"
soep-is,soep-is-2011,q101,4,Nein,No
soep-is,soep-is-2011,q101,9,Keine Angabe,No answer
soep-is,soep-is-2011,q106,1,Ihr Sohn,Son
soep-is,soep-is-2011,q106,2,Ihre Tochter,Daughter
soep-is,soep-is-2011,q108,1,Hier im Haushalt,Here in this household
soep-is,soep-is-2011,q108,2,Hier am Ort,Here in this town
soep-is,soep-is-2011,q108,3,Woanders in Westdeutschland,Elsewhere in West Germany
soep-is,soep-is-2011,q108,4,Woanders in Ostdeutschland,Elsewhere in East Germany
soep-is,soep-is-2011,q108,5,Im Ausland,Abroad
soep-is,soep-is-2011,q108,6,Ist verstorben,Has died
soep-is,soep-is-2011,q108,9,Keine Angabe,No answer
soep-is,soep-is-2011,q109_2,0,Hier im selben Haushalt,In the same household
soep-is,soep-is-2011,q109_2,1,Hier im selben Haus,In the same house
soep-is,soep-is-2011,q109_2,2,In der Nachbarschaft,In the same neighborhood
soep-is,soep-is-2011,q109_2,3,"Im gleichen Ort, aber mehr als 15 Minuten Fußweg","In the same town, but more than 15 minutes away by foot"
soep-is,soep-is-2011,q109_2,4,"In einem anderen Ort, aber innerhalb 1 Stunde erreichbart","In another town, but within a one hour drive"
soep-is,soep-is-2011,q109_2,5,Weiter entfernt (aber in Deutschland),Farther away (but in Germany)
soep-is,soep-is-2011,q109_2,6,Im Ausland,Abroad
soep-is,soep-is-2011,q109_2,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q11,1,Ja,Yes
soep-is,soep-is-2011,q11,2,Nein,No
soep-is,soep-is-2011,q11,9,Keine Angabe,No answer
soep-is,soep-is-2011,q11111,1,Test jetzt starten,Start test now
soep-is,soep-is-2011,q11111,2,"Test nicht durchführen, weil","Do not perform test, because"
soep-is,soep-is-2011,q11113,1,sehr gut,Very good
soep-is,soep-is-2011,q11113,2,gut,Good
soep-is,soep-is-2011,q11113,3,befriedigend,Satisfactory
soep-is,soep-is-2011,q11113,4,ausreichend,Sufficient
soep-is,soep-is-2011,q11113,5,mangelhaft,Poor/Fail
soep-is,soep-is-2011,q11113,6,ungenügend,Very poor/ Fail
soep-is,soep-is-2011,q11114,1,"ja, und zwar","Yes, in fact"
soep-is,soep-is-2011,q11114,2,nein,No
soep-is,soep-is-2011,q112,1,"In der DDR, einschließlich Ostberlin","In East Germany, including East-berlin"
soep-is,soep-is-2011,q112,2,"In der Bundesrepublik, einschließlich Westberlin","In West Germany, including West-Berlin"
soep-is,soep-is-2011,q112,3,In einem anderen Land,In another country
soep-is,soep-is-2011,q112,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q113,1,Ja,Yes
soep-is,soep-is-2011,q113,2,Nein,No
soep-is,soep-is-2011,q113,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q114,1,Diese hier,This one
soep-is,soep-is-2011,q114,2,Die andere,The other one
soep-is,soep-is-2011,q114,3,Beide Wohnungen etwa zu gleichen Teilen,They're approximately equal
soep-is,soep-is-2011,q114,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q115,1,Kind lebt noch im Haushalt,Child still lives in household
soep-is,soep-is-2011,q115,2,Kind lebt nicht mehr im Haushalt,Child does not live in household anymore
soep-is,soep-is-2011,q116,1,Ja,Yes
soep-is,soep-is-2011,q116,2,Nein,No
soep-is,soep-is-2011,q116,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q11702,1,m,male
soep-is,soep-is-2011,q11702,2,w,female
soep-is,soep-is-2011,q11703,1,Januar,January
soep-is,soep-is-2011,q11703,2,Februar,February
soep-is,soep-is-2011,q11703,3,März,March
soep-is,soep-is-2011,q11703,4,April,April
soep-is,soep-is-2011,q11703,5,Mai,May
soep-is,soep-is-2011,q11703,6,Juni,June
soep-is,soep-is-2011,q11703,7,Juli,July
soep-is,soep-is-2011,q11703,8,August,August
soep-is,soep-is-2011,q11703,9,September,September
soep-is,soep-is-2011,q11703,10,Oktober,October
soep-is,soep-is-2011,q11703,11,November,November
soep-is,soep-is-2011,q11703,12,Dezember,December
soep-is,soep-is-2011,q11704,1,Ja,Yes
soep-is,soep-is-2011,q11704,2,Nein,No
soep-is,soep-is-2011,q118,1,Ja,Yes
soep-is,soep-is-2011,q118,2,"Nein, eine andere Person beantwortet die Fragen zum Kind beziehungsweise hat die Fragen bereits beantwortet","No, another person will answer the questions about that child or already did"
soep-is,soep-is-2011,q118,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q12,1,vor 1919,Before 1919
soep-is,soep-is-2011,q12,2,1919 bis 1948,1919 to 1948
soep-is,soep-is-2011,q12,3,1949 bis 1971,1949 to 1971
soep-is,soep-is-2011,q12,4,1972 bis 1980,1972 to 1980
soep-is,soep-is-2011,q12,5,1981 bis 1990,1981 to 1990
soep-is,soep-is-2011,q12,6,1991 bis 2000,1991 to 2000
soep-is,soep-is-2011,q12,7,2001 und später,2001 and later
soep-is,soep-is-2011,q12,9,Keine Angabe,No answer
soep-is,soep-is-2011,q121,1,U1,U1
soep-is,soep-is-2011,q121,2,U2,U2
soep-is,soep-is-2011,q121,3,U3,U3
soep-is,soep-is-2011,q121,4,U4,U4
soep-is,soep-is-2011,q121,5,U5,U5
soep-is,soep-is-2011,q121,6,U6,U6
soep-is,soep-is-2011,q121,7,U7,U7
soep-is,soep-is-2011,q121,8,U8,U8
soep-is,soep-is-2011,q121,9,U9,U9
soep-is,soep-is-2011,q121,10,Es wurde keine dieser Untersuchungen durchgeführt,Not undergone any of these examinations
soep-is,soep-is-2011,q121,-1,Keine Angabe,No answer
soep-is,soep-is-2011,q122,1,"Ja, bei der U-Untersuchung","Yes, in one of the U-screenings"
soep-is,soep-is-2011,q122,2,"Ja, bei einer anderen Untersuchung","Yes, in another check-up"
soep-is,soep-is-2011,q122,3,Nein,No
soep-is,soep-is-2011,q122,-1,Keine Angabe,No answer
soep-is,soep-is-2011,q124,1,Ja,Yes
soep-is,soep-is-2011,q124,2,Nein,No
soep-is,soep-is-2011,q124,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q127,1,Ja,Yes
soep-is,soep-is-2011,q127,2,Nein,No
soep-is,soep-is-2011,q127,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q130,1,1 Trifft überhaupt nicht zu,1  Absolutly does not apply
soep-is,soep-is-2011,q130,2,2,2
soep-is,soep-is-2011,q130,3,3,3
soep-is,soep-is-2011,q130,4,4,4
soep-is,soep-is-2011,q130,5,5,5
soep-is,soep-is-2011,q130,6,6,6
soep-is,soep-is-2011,q130,7,7 Trifft voll und ganz zu,7  Fully applies
soep-is,soep-is-2011,q1301,1972,1972,1972
soep-is,soep-is-2011,q1301,1973,1973,1973
soep-is,soep-is-2011,q1301,1974,1974,1974
soep-is,soep-is-2011,q1301,1975,1975,1975
soep-is,soep-is-2011,q1301,1976,1976,1976
soep-is,soep-is-2011,q1301,1977,1977,1977
soep-is,soep-is-2011,q1301,1978,1978,1978
soep-is,soep-is-2011,q1301,1979,1979,1979
soep-is,soep-is-2011,q1301,1980,1980,1980
soep-is,soep-is-2011,q1301,98,Nein,No
soep-is,soep-is-2011,q1301,99,Keine Angabe,No answer
soep-is,soep-is-2011,q1302,1981,1981,1981
soep-is,soep-is-2011,q1302,1982,1982,1982
soep-is,soep-is-2011,q1302,1983,1983,1983
soep-is,soep-is-2011,q1302,1984,1984,1984
soep-is,soep-is-2011,q1302,1985,1985,1985
soep-is,soep-is-2011,q1302,1986,1986,1986
soep-is,soep-is-2011,q1302,1987,1987,1987
soep-is,soep-is-2011,q1302,1988,1988,1988
soep-is,soep-is-2011,q1302,1989,1989,1989
soep-is,soep-is-2011,q1302,1990,1990,1990
soep-is,soep-is-2011,q1302,98,Nein,No
soep-is,soep-is-2011,q1302,99,Keine Angabe,No answer
soep-is,soep-is-2011,q1303,1991,1991,1991
soep-is,soep-is-2011,q1303,1992,1992,1992
soep-is,soep-is-2011,q1303,1993,1993,1993
soep-is,soep-is-2011,q1303,1994,1994,1994
soep-is,soep-is-2011,q1303,1995,1995,1995
soep-is,soep-is-2011,q1303,1996,1996,1996
soep-is,soep-is-2011,q1303,1997,1997,1997
soep-is,soep-is-2011,q1303,1998,1998,1998
soep-is,soep-is-2011,q1303,1999,1999,1999
soep-is,soep-is-2011,q1303,2000,2000,2000
soep-is,soep-is-2011,q1303,98,Nein,No
soep-is,soep-is-2011,q1303,99,Keine Angabe,No answer
soep-is,soep-is-2011,q1304,2001,2001,2001
soep-is,soep-is-2011,q1304,2002,2002,2002
soep-is,soep-is-2011,q1304,2003,2003,2003
soep-is,soep-is-2011,q1304,2004,2004,2004
soep-is,soep-is-2011,q1304,2005,2005,2005
soep-is,soep-is-2011,q1304,2006,2006,2006
soep-is,soep-is-2011,q1304,2007,2007,2007
soep-is,soep-is-2011,q1304,2008,2008,2008
soep-is,soep-is-2011,q1304,2009,2009,2009
soep-is,soep-is-2011,q1304,2010,2010,2010
soep-is,soep-is-2011,q1304,2011,2011,2011
soep-is,soep-is-2011,q1304,98,Nein,No
soep-is,soep-is-2011,q1304,99,Keine Angabe,No answer
soep-is,soep-is-2011,q132,1,Ja,Yes
soep-is,soep-is-2011,q132,2,Nein,No
soep-is,soep-is-2011,q132,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q134,1,1,1
soep-is,soep-is-2011,q134,2,2,2
soep-is,soep-is-2011,q134,3,3,3
soep-is,soep-is-2011,q134,4,4,4
soep-is,soep-is-2011,q134,5,5,5
soep-is,soep-is-2011,q134,6,6,6
soep-is,soep-is-2011,q134,7,7,7
soep-is,soep-is-2011,q134,8,8,8
soep-is,soep-is-2011,q134,9,9,9
soep-is,soep-is-2011,q134,10,10,10
soep-is,soep-is-2011,q134,11,11,11
soep-is,soep-is-2011,q135,0,besucht keine Schule,Does not attend school
soep-is,soep-is-2011,q135,1,"Grundschule, inkl. Förderstufe",Primary school (including transitional grades/ Förderstufe)
soep-is,soep-is-2011,q135,2,Hauptschule,Secondary General School (Hauptschule)
soep-is,soep-is-2011,q135,3,Realschule,Intermediate School (Realschule)
soep-is,soep-is-2011,q135,4,Gymnasium,Upper Secondary (Gymnasium)
soep-is,soep-is-2011,q135,5,Gesamtschule,Comprehensive School (Gesamtschule)
soep-is,soep-is-2011,q135,6,Berufsschule,Vocational School (Berufsschule)
soep-is,soep-is-2011,q135,7,Sonstige Schule,Other
soep-is,soep-is-2011,q135,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q136,1,Ja,Yes
soep-is,soep-is-2011,q136,2,Nein,No
soep-is,soep-is-2011,q136,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q13701,1,Ja,Yes
soep-is,soep-is-2011,q13701,2,Nein,No
soep-is,soep-is-2011,q13701,-2,Keine Angabe,No answer
soep-is,soep-is-2011,q139,1,1 Trifft überhaupt nicht zu,1  Absolutly does not apply
